Iteration,Mean_SED_psi,Max_SED_psi,Bone_SED_Target_psi,SED_CoeffVariation,Max_Displacement_in,Total_Volume_estimate
25,0.09734744999545092,0.1162288407504224,5.8,0.39778307883077285,0.004910313612574296,85.03566505410458
26,0.09601641117788773,0.11457722634295392,5.8,0.39791727856505343,0.004876678734940979,85.57891791583405
27,0.09471110599001699,0.11298318452095522,5.8,0.397995321622746,0.004843405750338098,86.12394243398268
28,0.0934311136980319,0.1114308555722018,5.8,0.3980376371801373,0.004810518976263783,86.670088237056
29,0.09217595383424385,0.10991561034591577,5.8,0.39805745721249863,0.004778030675096647,87.21693800615475
30,0.09094510105362583,0.10843423771743894,5.8,0.3980633130982474,0.004745945526608299,87.76422496261915
31,0.08973800280034357,0.10698443265802521,5.8,0.3980606884903886,0.004714263479746282,88.31177958673203
32,0.08855409390530058,0.10556447266037468,5.8,0.3980531010932971,0.004682981562185859,88.85949515111732
33,0.08739280713430245,0.10417301264855701,5.8,0.39804280516393553,0.004652095026266089,89.40730542282732
34,0.08625358026950625,0.10280895472237649,5.8,0.3980312452050425,0.004621598073637571,89.95517024906603
35,0.08513586061550266,0.10147136529218044,5.8,0.39801934778596004,0.004591484312606709,90.50306625061343
36,0.08403910771931875,0.10015942227118203,5.8,0.3980077086622648,0.0045617470458798395,91.05098082171094
37,0.08296279490020826,0.0988723813462998,5.8,0.3979967124612515,0.0045323794507208725,91.59890826764266
38,0.08190641000718303,0.09760955436171133,5.8,0.39798660907673833,0.0045033746909065794,92.14684732230437
39,0.0808694556858418,0.09637029539235543,5.8,0.39797756234472254,0.004474725985498706,92.69479955518909
40,0.07985144933956445,0.0951539916991021,5.8,0.3979696810087995,0.004446426650323386,93.24276835066304
41,0.07885192290475396,0.09396005778315494,5.8,0.3979630383914429,0.004418470122244287,93.79075825486603
42,0.07787042251661598,0.0927879314091318,5.8,0.3979576848749208,0.004390849972625203,94.33877455837258
43,0.07690650811388781,0.09163707088033661,5.8,0.39795365581155356,0.004363559914032423,94.88682302980055
44,0.0759597530128784,0.09050695311255844,5.8,0.39795097653275435,0.004336593802737676,95.43490974590895
45,0.07502974346965476,0.08939707221936903,5.8,0.39794966551903277,0.00430994563863765,95.98304098327623
46,0.07411607824191081,0.0883069384274289,5.8,0.3979497364057436,0.00428360956360766,96.53122314921974
47,0.07321836815743704,0.08723607720708504,5.8,0.39795119925266875,0.004257579858928363,97.07946273768378
48,0.0723362356932234,0.08618402854570961,5.8,0.3979540613486128,0.00423185094218533,97.62776630099307
49,0.07146931456741429,0.08515034631785293,5.8,0.39795832772259315,0.004206417363890522,98.17614043167397
50,0.07061724934521978,0.08413459772306356,5.8,0.397964001470028,0.004181273803979914,98.72459175065805
51,0.06977969505919718,0.08313636277278481,5.8,0.3979710839623348,0.0041564150682817935,99.27312689952782
52,0.06895631684390123,0.08215523381440008,5.8,0.3979795749830554,0.00413183608501308,99.82175253532178
53,0.06814678958465477,0.08119081508467052,5.8,0.3979894728176535,0.0041075319013375786,100.37047532696
54,0.06735079758004874,0.08024272228745186,5.8,0.39800077431405595,0.004083497680005641,100.91930195269693
55,0.06656803421770585,0.0793105821922327,5.8,0.39801347492465766,0.004059728696085606,101.46823909822704
56,0.06579820166280421,0.07839403225108937,5.8,0.398027568736531,0.004036220333791958,102.01729345520722
57,0.06504101055884669,0.077492720232315,5.8,0.3980430484940536,0.00401296808341168,102.56647172004713
58,0.06429617974016484,0.07660630386941492,5.8,0.39805990561661053,0.003989967538328246,103.11578059287368
59,0.06356343595565575,0.07573445052442795,5.8,0.39807813021302985,0.003967214392141531,103.6652267766113
60,0.06284251360326783,0.07487683686472732,5.8,0.39809771109380154,0.003944704435881194,104.21481697614013
61,0.06213315447476962,0.07403314855256513,5.8,0.39811863578173246,0.003922433555310708,104.7645578975091
62,0.06143510751035519,0.07320307994672486,5.8,0.3981408905214615,0.003900397728319122,105.31445624718914
